,iql_op_2p_600,iql_op_2p_618,iql_aux_2p_804,sad_aux_op_2p_25018,sad_2p_9,iql_2p_7,vdn_aux_2p_971,iql_op_2p_6110,iql_aux_2p_800,sad_aux_op_2p_25000,vdn_op_2p_77111,sad_aux_op_2p_1,vdn_aux_2p_940,sad_op_2p_2525,iql_op_2p_610,vdn_2p_7110,vdn_op_2p_7711,iql_2p_424,sad_op_2p_2518,vdn_2p_770,iql_aux_2p_8110,iql_op_2p_621,sad_aux_2p_10,sad_aux_2p_20006,vdn_op_2p_7742,sad_aux_op_2p_25025,sad_2p_2007,sad_op_2p_2500,iql_aux_2p_810,iql_2p_210,sad_2p_1,vdn_2p_740,iql_aux_2p_8111,sad_op_2p_2519,iql_op_2p_620,sad_aux_2p_20007,iql_2p_224,sad_aux_op_2p_25024,sad_2p_2006,sad_op_2p_2501,vdn_op_2p_7772,sad_aux_2p_1,iql_aux_2p_811,vdn_2p_726,sad_op_2p_1,vdn_aux_2p_9112,sad_aux_op_2p_25019,vdn_op_2p_729,vdn_aux_2p_970,sad_aux_op_2p_25001,vdn_aux_2p_9141,sad_op_2p_2524,vdn_aux_2p_941,vdn_op_2p_7712,vdn_op_2p_727,vdn_2p_7140,vdn_2p_711,vdn_op_2p_7741,iql_2p_510,iql_aux_2p_8140,vdn_2p_720,sad_2p_2018,iql_aux_2p_840,sad_aux_2p_20019,sad_op_2p_2507,sad_2p_2000,sad_aux_2p_20001,iql_2p_111,sad_2p_2025,sad_aux_op_2p_25007,sad_aux_2p_20024,iql_2p_4,iql_op_2p_6140,vdn_aux_2p_910,iql_2p_288,sad_aux_op_2p_2,vdn_op_2p_77112,sad_op_2p_2,sad_2p_2024,sad_aux_op_2p_25006,sad_aux_2p_20025,vdn_aux_2p_9111,vdn_aux_2p_911,vdn_aux_2p_9142,iql_op_2p_700,iql_2p_488,iql_op_2p_612,iql_2p_310,vdn_2p_7141,vdn_2p_710,vdn_op_2p_7771,iql_aux_2p_8141,iql_aux_2p_841,sad_2p_2019,sad_aux_2p_20018,sad_op_2p_2506,vdn_2p_725,sad_2p_2001,iql_op_2p_710,sad_aux_2p_20000
vdn_op_2p_77111,9.9174,19.9712,17.274,20.9236,2.0992,16.1624,17.9126,20.1948,19.6256,19.9612,23.7334,14.0984,19.0492,15.9144,1.7002,20.0934,13.676,19.6314,19.0364,4.5912,19.2852,15.9278,20.6008,18.357,0.1488,16.815,10.5516,18.5982,18.9854,7.5542,18.0124,17.4518,18.2038,13.918,20.0266,20.0654,20.719,18.9048,0.1758,15.5544,20.5112,18.6252,17.8714,16.3888,12.6326,20.7656,19.7132,16.4612,18.7454,13.5928,19.7108,16.6548,20.1026,11.84,18.718,13.503,22.2492,3.8558,18.5998,18.1846,12.3402,7.4806,19.229,18.548,0.034,15.3556,19.5694,18.4456,0.1166,20.6224,18.5486,6.6466,19.5976,19.16,20.5054,20.3278,21.2654,0.104,13.3112,17.8914,19.3376,19.4508,19.8514,18.703,19.1414,20.3048,18.2878,19.4846,0.4438,20.8104,7.2304,19.3862,18.9408,11.2076,20.4812,0.0022,3.916,13.5474,10.8348,20.7906
sad_aux_op_2p_1,5.879,18.0998,19.2586,17.172,1.3928,16.489,19.3992,17.3272,18.813,16.965,14.0886,24.1432,20.1708,15.0246,4.3066,14.5598,10.605,17.0332,9.5546,4.2468,18.3084,16.6252,13.964,14.9354,0.5288,18.4614,1.0082,9.2588,17.5766,8.8524,9.8136,12.8584,17.6572,9.428,17.2886,16.4758,16.3468,15.454,0.5212,13.6764,17.478,15.9802,18.9168,10.2608,8.7288,19.5856,15.6848,17.6122,19.0282,17.5552,18.732,11.6932,19.1586,11.3504,14.4104,11.1532,14.8378,3.9582,14.9972,18.6832,11.3426,3.9802,17.1756,18.1608,0.212,12.8386,17.8952,14.7706,0.1514,15.5334,16.8972,3.7428,17.883,18.8446,16.119,18.6876,16.5076,0.3282,4.6164,16.7346,17.3472,18.9944,18.8944,17.4024,17.7224,15.8762,17.3692,15.8006,0.8108,16.0558,6.1362,17.7654,18.8312,10.0672,15.038,0.036,3.0608,8.024,13.3888,18.3316
vdn_aux_2p_940,12.1442,21.1378,19.8588,21.8936,2.2094,17.9416,21.5646,20.3508,22.5048,21.8186,19.0362,19.8746,23.9246,19.7966,5.6568,19.1332,12.8254,19.8692,18.2472,6.731,21.2626,18.1862,19.871,21.793,0.5422,22.0622,5.6408,17.4102,19.8774,12.6338,17.0118,18.4442,20.7328,16.5308,20.4234,20.8522,19.7352,21.7322,0.621,15.4986,20.9424,20.9718,21.9366,13.2106,13.1622,21.8928,21.6344,17.07,23.2204,17.104,22.788,17.0328,22.7312,14.675,19.3772,14.1912,18.9084,4.2436,18.421,22.9524,11.3334,9.6112,20.794,20.515,0.3008,14.9704,21.2302,19.0824,0.4388,21.8446,21.5878,8.4024,20.5464,21.9516,18.3332,22.8916,19.8424,0.3028,9.895,22.4806,23.2734,22.7214,21.6384,21.7376,20.5146,18.6774,20.4732,17.131,1.0498,19.9248,6.5336,22.211,22.3574,10.0112,21.1472,0.0028,2.9274,14.3308,16.8272,22.2522
sad_op_2p_2525,7.9504,19.2018,17.497,18.5756,1.4124,18.621,19.8214,18.78,19.6488,20.8356,16.1018,15.9356,20.254,24.122,3.15,18.9578,12.4766,18.5412,15.4456,3.8988,18.7094,17.8032,15.6778,19.253,0.0954,20.9568,6.0122,14.9758,18.1324,5.8302,16.361,18.322,19.3648,18.631,19.007,19.4558,15.6286,20.5524,0.1588,14.438,19.6276,19.6468,19.3978,9.2642,9.392,18.182,18.6112,15.7246,20.135,13.6992,19.8104,17.7572,19.498,13.9146,21.5528,14.2214,17.1308,2.6828,17.0136,19.5092,13.5296,10.1466,18.789,19.8486,0.0256,12.5348,19.9072,16.3622,0.5352,18.0554,19.164,4.3086,18.5376,19.3784,15.494,19.3858,18.3206,0.1064,8.8448,19.4366,19.3762,20.0322,20.1952,20.8604,17.1378,14.701,21.0972,17.077,0.3076,20.2314,5.0284,17.214,20.5158,8.3302,18.3142,0.0,1.7718,16.8446,18.6412,20.6514
iql_op_2p_610,5.5686,5.1554,6.7392,4.1664,1.2056,4.4666,6.726,4.776,6.5448,4.174,1.7756,4.2,5.8472,3.029,23.4378,2.362,2.7392,4.5168,0.8452,2.58,6.8198,5.005,2.1898,3.3162,0.1636,5.2272,0.0104,0.7888,6.9406,4.0636,0.9908,3.0322,7.4848,1.2458,3.5514,3.1728,4.1172,5.2234,0.3346,1.7462,4.0992,2.7292,6.6178,1.3924,1.0646,4.7462,4.0044,3.7726,6.1148,6.5726,6.2022,2.7502,5.6426,2.2824,3.0498,2.5132,2.4244,0.4934,4.3448,5.686,4.0994,0.6288,6.6494,4.5606,0.0152,1.2248,4.7124,3.5594,0.049,3.6354,6.382,6.4592,3.861,5.5156,3.4462,5.011,3.0952,0.7616,0.157,6.0896,4.4922,5.9564,5.9126,5.2898,4.3772,2.9156,5.5982,4.3882,1.415,2.9352,1.6296,5.462,6.9,0.5382,2.7342,0.0888,0.6624,1.1658,4.4464,4.3814
vdn_2p_7110,9.6494,20.2154,15.9144,18.028,1.0316,14.2274,17.055,20.1094,20.737,19.145,20.1908,14.8828,19.4026,19.0194,2.445,23.747,17.4214,15.6268,20.2766,3.1278,18.8484,18.0528,16.2734,17.1548,0.268,17.4064,8.1332,21.2648,17.428,7.9174,17.5054,17.4464,17.826,17.1212,21.5662,20.1484,15.2816,17.4968,0.2166,18.2094,21.6936,21.2306,16.9126,14.2136,12.2894,17.3848,17.924,14.1192,17.8932,12.7552,17.7748,19.8686,18.506,10.5324,17.0498,12.6962,18.8154,3.9318,19.8404,17.0364,9.4208,7.7098,17.159,18.4152,0.0236,17.2866,19.4162,21.358,0.0626,17.9204,16.364,5.736,19.2036,16.043,19.3658,17.8682,21.62,0.1772,6.3876,18.836,18.77,19.0158,19.3504,19.6056,20.461,17.3642,20.0022,20.0312,0.2776,21.4174,5.4484,16.4272,18.0588,13.738,18.233,0.0006,2.2046,14.9296,14.6664,19.7278
vdn_op_2p_7711,10.0352,17.081,13.8108,10.8544,0.6646,12.6546,9.8514,15.5844,11.3866,13.6916,13.6166,11.0152,13.7986,12.1122,3.3086,17.7244,23.4376,12.7834,17.694,2.8138,11.5402,17.1986,10.288,8.9312,0.0778,11.3276,1.7724,17.3024,10.0314,9.3902,13.4302,14.0566,10.5816,10.484,18.6786,13.4494,10.9758,9.9966,0.1416,16.662,17.3824,15.5716,12.0856,10.8892,10.884,10.322,10.6222,10.822,10.0924,10.9614,10.1104,12.8352,13.3754,5.403,10.983,4.6496,12.576,2.0992,17.4468,11.1982,6.954,5.0552,10.8022,10.067,0.0514,17.1296,11.61,15.6806,0.024,9.9542,10.2044,4.4402,16.632,9.9572,16.6146,10.7134,17.9536,0.0728,7.0282,10.9794,10.7286,12.6508,12.388,10.9374,18.6752,14.2622,16.2962,17.8326,0.2722,17.5608,6.636,8.931,11.6724,8.7428,10.4252,0.003,1.8494,8.6776,15.1356,15.008
iql_2p_424,10.1824,19.6128,17.606,19.7812,2.0142,18.5052,20.4684,20.5966,19.4854,18.709,19.4214,17.1252,20.0176,18.3802,4.6988,15.2704,12.0646,23.8688,16.1698,5.0362,19.4278,17.5176,20.4056,18.6826,0.5314,19.7184,6.7908,14.7758,18.0208,8.784,15.2862,18.4254,18.3478,15.568,19.184,18.2404,18.6482,19.2378,0.6508,12.5738,19.0282,17.165,19.111,10.8754,11.9122,20.412,18.6764,16.7864,20.0714,14.9302,19.4934,15.9416,20.4902,13.991,19.824,14.902,19.1882,3.3272,17.2318,19.7214,12.2504,8.157,19.4898,18.3822,0.2148,13.6212,17.918,16.679,0.2538,18.7224,18.8166,6.348,20.0772,18.9964,17.4342,20.7922,19.071,0.1642,12.1562,18.5732,19.0014,19.5292,19.1208,18.706,19.5404,16.31,19.5028,16.4896,0.9556,18.933,7.0112,18.6494,19.3898,8.9342,18.7762,0.0282,3.278,15.1128,16.5718,20.2216
sad_op_2p_2518,5.002,17.5662,14.9332,17.104,0.276,11.8592,14.2154,19.121,17.0656,20.7078,18.9026,10.0766,18.5936,15.5898,0.7944,20.2538,17.376,16.351,23.3484,1.8758,17.4614,15.7068,15.1528,16.2418,0.0312,13.9876,8.2388,23.0264,16.2662,3.6172,18.9002,17.7772,17.2038,19.029,20.331,19.5346,15.6344,16.8008,0.0782,17.087,19.8398,17.4102,13.8996,14.494,14.9802,17.739,19.3568,9.8132,16.2098,8.9166,16.2572,16.0198,20.2938,6.0978,15.4078,7.1472,17.9438,1.942,18.5156,17.012,7.3618,7.2468,17.794,16.331,0.0098,18.9606,19.4284,18.5952,0.0156,18.706,13.3142,2.9962,17.0394,15.4658,17.517,15.973,21.3646,0.669,6.169,16.5588,18.0592,18.1128,17.0322,16.936,18.334,16.4492,18.2612,19.4798,0.1734,20.7496,2.5692,14.9806,17.7526,11.6688,18.4338,0.0,1.2044,17.3982,9.4806,20.346
vdn_2p_770,5.925,4.6178,4.5132,5.127,0.1862,4.7592,6.0726,6.242,8.0676,5.7244,4.8766,3.8844,6.3536,3.6864,2.5992,3.2068,2.5908,5.3436,2.0224,24.0504,6.207,4.014,3.907,4.535,0.1706,4.7596,0.4232,1.6892,6.7858,2.324,2.2264,3.4564,7.2984,2.496,4.364,7.806,5.6778,4.615,0.0194,1.6962,5.4952,3.9678,3.4562,0.6428,1.0486,5.9766,6.1276,3.7054,6.2496,2.7744,4.9324,1.985,6.3964,2.063,4.6384,3.6256,5.3762,0.8772,3.6546,5.995,1.946,1.678,6.785,5.766,0.3318,0.7446,7.3294,4.5304,0.9494,5.1352,3.8066,3.8974,5.2348,4.7804,3.4264,6.2218,4.67,0.092,1.1508,8.4052,6.8052,8.2016,4.5928,7.698,4.9056,3.878,7.1868,4.1618,0.6702,5.5722,0.976,6.4666,6.5526,0.4814,5.4852,0.0,1.42,1.7052,3.9522,8.1152
iql_aux_2p_8110,11.6662,20.1864,18.754,21.9372,1.8558,17.6418,21.989,19.444,22.3864,21.441,19.3464,18.3206,21.2876,18.5352,6.7278,18.4498,10.6928,18.9734,17.0906,5.6616,23.442,17.1112,18.244,19.8668,0.4116,21.2038,7.1086,16.2948,21.086,10.9966,14.6404,17.1412,21.5438,17.081,18.9444,21.6392,19.1338,21.7494,0.9318,15.7176,20.2782,19.76,20.2254,14.935,12.1818,21.6336,22.0204,16.7736,21.6588,17.1674,21.9316,15.9986,21.8946,15.5334,18.9934,15.3628,19.3294,6.3774,16.8052,20.3876,13.283,11.016,21.9022,21.228,0.6894,14.0666,21.6106,17.5864,0.1394,21.3584,21.6582,6.027,19.0578,20.0756,17.7244,22.4144,19.137,0.4784,11.1844,21.8774,20.856,21.8226,22.6286,21.928,19.0246,17.2386,19.529,16.8812,1.1052,18.9606,7.754,21.2448,22.1164,10.4296,21.0492,0.0018,4.3994,15.7592,15.237,22.1438
iql_op_2p_621,6.6062,20.88,18.9026,16.7836,1.7296,18.481,17.074,19.3396,17.6422,17.7622,16.2828,16.8502,18.4864,17.8626,5.1926,17.7704,16.7764,17.6328,15.4584,3.9244,17.5666,23.2084,13.874,15.4392,0.3954,16.5986,0.4044,15.6926,15.6296,9.5744,15.5642,18.8262,17.6774,16.1074,19.3204,17.2272,16.4764,15.7932,0.5914,18.1676,19.1954,18.4998,17.467,11.9914,12.3662,16.8088,15.9156,16.6528,17.2514,15.3866,17.0588,14.8422,18.504,12.7686,17.865,14.5038,16.7564,3.9026,20.522,16.3378,16.8444,5.6908,17.3318,17.1234,0.172,16.557,17.5128,17.8576,0.2124,16.2802,15.2166,8.266,17.6638,16.5594,16.8144,15.743,18.7848,9.9326,2.8558,17.5414,15.8352,18.2374,17.0952,17.54,18.4384,16.975,20.002,19.2872,0.7144,18.794,8.7616,15.2374,18.717,14.557,14.9316,0.023,2.9032,15.4814,18.7556,18.556
sad_aux_2p_10,9.6248,18.0852,15.103,21.6808,0.791,18.5916,20.5018,18.5906,18.7874,18.508,20.4828,14.389,20.065,14.8012,2.3994,15.8606,10.2634,20.36,14.7608,3.9554,18.3524,13.7056,24.042,17.7,0.1352,18.0104,6.8086,14.0672,18.1804,9.063,15.6792,14.7048,17.0882,13.3206,18.5886,18.4104,20.428,18.0544,0.211,12.7804,17.4096,17.0202,18.9204,11.9654,15.1294,22.184,18.8046,14.343,19.4816,11.6584,18.4418,15.2952,19.981,14.6192,18.467,15.9854,20.4724,1.5818,17.0682,19.109,10.2218,4.2386,19.2454,17.0748,0.055,11.042,17.0734,15.9204,0.119,19.8624,19.2658,3.4544,17.8956,19.3864,17.9366,20.695,18.162,0.2648,15.3184,16.527,18.3938,18.1982,18.907,17.7128,17.9964,17.8028,17.9148,15.6922,0.292,18.3574,4.5828,20.4478,18.642,3.732,20.985,0.0008,2.3258,13.0052,12.5536,20.7516
sad_aux_2p_20006,8.0514,18.3414,17.3352,21.1078,0.742,17.1162,20.912,18.0574,21.9888,20.9636,18.0296,14.9574,21.8388,18.934,3.4202,16.9082,8.8764,18.6136,16.0522,4.3428,19.987,15.1376,17.4686,23.8714,0.1226,21.17,3.757,15.7736,20.1006,7.0784,15.1936,16.2128,21.5186,17.8732,17.814,21.6758,17.734,21.2638,0.4758,13.682,18.731,18.4788,21.4012,8.7862,9.8706,20.6908,21.08,14.5716,22.1436,11.9266,20.2866,14.2278,20.063,13.8668,19.9528,14.0354,17.2878,3.1482,14.6976,21.811,10.8234,6.4062,21.707,21.329,0.1618,11.1932,20.949,16.3162,0.1474,20.4896,20.335,3.9352,16.4568,22.2114,14.5422,21.1374,17.9808,0.6808,7.5724,20.7868,21.5902,21.0896,20.9554,21.8866,16.9072,15.7636,19.4024,13.3614,0.5228,18.9426,2.3626,20.3494,20.3072,4.6928,19.007,0.0,2.336,16.257,14.8296,20.3152
vdn_op_2p_7742,0.2024,0.5948,0.5558,0.0988,0.0012,0.4566,0.6968,0.4854,1.2018,0.1462,0.1514,0.65,0.5234,0.074,0.1314,0.236,0.0852,0.6038,0.0318,0.1758,0.4132,0.4454,0.1406,0.1132,23.6172,0.5698,0.0006,0.031,0.4246,0.3252,0.0424,0.1278,0.1906,0.0096,0.5784,0.0984,0.3462,0.1284,0.0084,0.144,0.2418,0.1712,0.703,0.0242,0.015,0.4416,0.099,1.1596,0.7384,0.4262,0.3712,0.053,0.3258,0.6596,0.1732,0.133,0.0874,0.5664,0.3396,0.949,0.0902,0.0794,0.2928,0.1046,0.0748,0.0456,0.336,0.3524,0.0396,0.0918,0.6296,0.091,0.6806,0.446,0.5064,0.319,0.1658,0.0124,0.0166,0.0978,0.24,0.324,0.5878,0.3986,0.7194,0.309,0.5172,0.3826,0.1026,0.3348,0.208,1.0532,0.2694,0.0142,0.131,0.0404,0.0346,0.017,0.6698,0.4298
sad_aux_op_2p_25025,10.3408,19.764,17.7716,20.819,1.35,19.4732,23.2844,19.284,21.8956,19.6692,16.1654,18.7158,22.0008,20.2796,5.3942,16.4584,11.0574,19.6356,12.4942,4.4944,21.251,16.341,17.5598,20.991,0.5904,24.0942,2.4258,12.0248,20.418,10.6354,13.6188,16.9,21.2246,14.503,19.1408,20.7074,17.7668,21.9108,0.6336,10.7666,19.24,19.998,21.7008,11.0652,8.144,20.8886,19.2842,16.7138,22.6524,16.8524,23.0458,17.513,21.0176,14.2766,19.4092,15.1674,16.5542,2.2984,15.8386,22.5704,12.1408,7.2328,21.276,20.8018,0.2458,7.7368,20.3586,17.4636,0.4578,19.7594,22.323,5.486,20.7908,21.3714,17.0174,23.4974,18.1684,0.1926,8.4364,20.4112,21.6854,21.8436,21.6704,21.6976,19.337,17.0264,20.4942,14.74,1.1386,19.2202,5.5472,21.2824,21.9498,5.4318,19.4242,0.0492,1.7862,13.3256,18.4348,20.8346
sad_2p_2007,1.1792,1.4582,0.6248,7.019,0.0,6.7678,4.5642,9.371,6.3316,7.4484,10.3112,1.0144,5.978,5.6374,0.016,8.5658,1.7466,7.2042,8.467,0.4538,7.2524,0.4456,6.7704,3.756,0.0,2.9164,24.0338,9.4746,6.5042,0.3944,8.2904,4.517,7.2414,8.106,7.9196,6.9614,4.6576,5.0604,0.0092,0.816,7.0578,4.4674,4.1162,2.3776,1.3092,7.0718,7.4662,0.9374,4.7426,0.1026,4.808,2.0436,8.9906,4.9316,10.5056,4.3518,12.9908,0.0,0.8348,5.9346,0.5862,1.9886,5.396,6.5976,0.0026,0.0,10.6048,6.8596,0.013,7.3336,4.0654,0.0964,7.0062,6.46,6.8624,4.6638,8.5132,0.0044,1.614,4.7668,7.0004,7.7402,8.9458,6.658,6.6354,9.6214,6.3532,1.276,0.041,9.7234,0.0076,7.013,7.1546,0.0046,7.7082,0.0,0.0004,5.6708,3.153,5.9932
sad_op_2p_2500,4.6344,17.8268,13.8594,15.647,0.2,10.7652,13.0062,18.822,16.8118,20.01,19.1472,9.644,17.7466,15.2448,0.8936,21.198,17.343,15.2202,22.9806,1.5716,16.331,15.877,14.7524,15.6814,0.0324,12.8656,9.907,23.2516,14.656,4.2102,20.2822,16.5286,15.927,18.5042,20.705,19.1042,14.2992,15.4952,0.0674,17.5634,19.6416,17.068,12.5872,13.8882,14.5096,16.6042,18.0682,8.6626,14.7872,8.7076,14.1466,15.0352,19.7814,6.7048,14.364,8.5486,17.554,1.107,18.7594,15.4348,6.3572,6.1758,16.581,14.9364,0.0024,18.9696,18.8938,19.8676,0.0342,17.76,12.676,2.8648,16.815,14.743,16.9454,14.9984,21.2824,0.0396,4.7496,15.225,16.7348,17.4288,16.8002,16.0964,18.2576,16.7682,18.021,19.7608,0.0586,21.0052,3.455,14.2908,16.466,18.0582,17.3658,0.0,1.5272,16.798,9.713,19.4268
iql_aux_2p_810,11.2586,18.2172,19.09,21.0626,2.411,17.9714,20.8898,18.146,20.1532,21.241,18.4188,17.5164,19.7654,17.3128,6.5434,16.8038,9.5204,17.2462,15.666,6.5226,20.7986,15.185,17.9976,19.7492,0.4154,20.2226,6.009,14.2544,23.2058,11.4004,13.1112,13.6144,21.7692,15.8862,16.6182,21.4164,18.5506,20.8496,1.6266,13.7842,17.6824,16.486,19.9278,13.7204,11.7234,20.7164,21.0238,16.9722,19.768,17.6626,21.6028,12.7146,19.7586,14.4382,18.7916,12.7158,18.4556,5.1896,16.4976,20.4094,12.7932,5.9392,20.9594,21.7432,0.4486,12.1238,21.027,14.9112,0.3622,20.7834,21.2556,7.9008,17.2976,21.3276,16.4652,21.025,16.6186,0.2306,11.1512,19.4768,19.8818,20.3136,21.0722,20.2832,16.4016,15.835,17.7848,15.8348,1.1624,17.1502,6.373,19.84,21.0558,7.1418,20.7388,0.0072,4.1866,15.8644,12.4012,20.4972
iql_2p_210,11.003,12.0396,10.391,9.2218,0.6578,6.278,10.5616,10.467,13.5898,8.898,7.6788,8.7624,12.8064,5.6278,3.941,7.554,9.032,8.1434,3.2242,2.2598,11.5738,9.7906,8.787,6.88,0.3206,10.4806,0.4168,3.9142,11.6942,23.8912,4.8566,5.9682,12.2894,2.3664,11.2236,8.2964,9.0714,10.0418,0.2616,4.6576,11.7136,10.9156,11.6376,6.492,2.9002,9.9174,7.768,8.9756,10.6828,9.4504,12.7722,6.861,10.2908,5.5556,6.318,4.6226,8.1302,0.53,9.2074,12.7272,3.0508,5.7706,10.244,8.2382,0.019,2.5326,8.6006,9.25,0.1934,9.5008,12.5256,4.6176,12.4064,11.6078,12.605,12.3826,10.3228,0.0736,2.996,11.3332,9.4548,12.1594,11.9686,10.101,12.379,7.8994,10.8806,9.4356,0.4144,9.2614,4.079,10.9736,9.7742,0.9118,8.0288,0.008,0.8694,1.935,7.7454,10.9842
sad_2p_1,7.5406,17.6598,13.3492,15.5632,0.5682,12.1504,14.0438,18.0358,15.8382,17.8838,17.9144,10.2974,17.7832,16.1804,0.874,17.2574,12.923,15.2426,18.8202,2.411,14.526,15.44,16.1068,15.6116,0.039,14.39,8.0832,20.2986,13.678,4.943,23.8336,15.1166,16.2692,12.7192,19.6692,15.892,15.519,14.7156,0.028,17.5798,19.8324,17.608,16.9842,9.3832,9.7804,16.7676,15.2506,12.9544,15.1334,11.1176,15.3112,16.988,17.4056,9.0116,16.5032,7.76,16.8422,2.7052,18.3856,18.2226,6.647,8.118,14.3198,14.4548,0.0094,16.2712,14.9606,18.4966,0.0504,17.6128,14.9482,2.8468,18.2616,17.0454,19.6106,15.197,20.8458,0.0826,7.8342,15.2642,15.5552,16.86,16.2788,16.1226,19.205,18.6164,17.8136,15.8602,0.188,19.5568,5.5198,15.2826,14.8198,14.7286,17.294,0.0,2.0552,12.3828,11.1428,17.5496
vdn_2p_740,9.2928,19.6334,15.819,15.9212,0.5748,16.365,16.8332,20.1424,16.7142,17.2662,17.209,12.64,18.2444,18.2632,3.0114,17.1038,13.8224,18.4696,17.6556,3.3656,16.702,18.6794,14.8258,15.8804,0.1274,17.129,4.7828,16.365,13.662,6.0412,15.3462,23.9788,14.663,16.3186,20.2294,16.4188,16.804,15.7992,0.1774,13.4724,19.8554,18.2864,16.978,12.6268,8.8832,16.972,16.02,13.596,17.883,11.694,15.8664,15.3614,19.0646,10.3844,17.3648,10.2748,15.7462,2.8556,16.8118,16.643,11.068,7.3934,17.4524,14.9146,0.1096,13.5166,15.0174,17.0344,0.1772,15.4566,15.0938,4.362,18.0188,15.5866,16.8066,16.7588,18.9146,0.0698,7.4542,16.3236,15.5612,17.535,16.5098,16.8262,19.8094,16.6516,20.7614,17.2858,0.3012,19.2322,6.0826,15.2912,18.5002,8.4812,16.1366,0.0,2.7268,13.0126,17.6592,19.1344
iql_aux_2p_8111,11.5718,19.8006,19.1932,21.2288,1.0664,18.9512,21.8384,18.9688,21.0904,21.672,17.7978,17.5888,20.7128,19.1534,7.3092,17.1266,9.8536,17.8532,16.903,6.303,21.6966,17.2626,16.686,21.2384,0.1528,21.2778,6.8072,15.7248,21.9092,11.7334,16.2554,15.1626,23.6104,18.0304,17.9154,22.9902,18.2784,21.9914,0.6796,14.447,19.4592,18.4462,20.1742,12.1914,10.832,20.7204,21.8246,16.6418,20.3276,16.6848,22.081,13.9968,20.3338,14.2192,19.8308,14.355,18.4388,5.0458,16.8644,20.9354,12.3432,10.8044,21.617,23.0542,0.372,12.5784,21.9014,16.9306,0.2038,21.771,21.1704,6.8944,17.901,21.261,16.3698,22.0702,18.335,0.375,10.8356,22.4464,20.6296,21.5528,21.4852,22.1004,17.7224,16.3686,19.898,15.5102,0.9278,18.6712,5.9494,19.3674,21.8106,10.6018,21.128,0.0054,2.8392,17.8452,16.0694,20.6212
sad_op_2p_2519,3.5088,14.9638,15.1436,17.1056,0.3762,17.9074,16.4634,17.5778,16.9312,20.0062,13.9562,9.5504,16.9876,18.5448,1.0716,17.2036,10.6862,15.9818,19.1546,2.5536,17.3128,16.3822,14.2358,18.148,0.0198,15.4712,8.0844,18.3938,16.4288,2.5018,12.6928,16.2928,18.0628,23.4732,14.6684,18.6902,13.806,17.6578,0.1136,14.9606,15.542,14.2784,14.5448,9.6468,10.7886,17.5934,19.1858,10.8026,17.0114,9.0188,15.4002,10.3942,19.1226,9.3302,20.4792,11.6912,16.1782,2.0162,15.1726,15.9018,13.907,4.2074,18.5836,18.2974,0.003,16.9202,20.7098,12.4942,0.3398,17.7004,13.5284,2.2278,11.7662,16.4992,12.3546,15.0632,15.2222,0.1604,7.4004,16.4154,17.298,18.2104,16.537,18.6352,12.6466,10.7896,19.9082,16.6736,0.0922,17.4506,1.733,14.9328,19.0172,9.2844,18.2308,0.0,1.2746,21.6912,12.8082,19.1652
iql_op_2p_620,12.5168,22.1302,18.1888,19.0706,2.6904,17.4834,18.5996,21.3014,20.0396,19.9104,20.0812,17.5028,20.6042,18.8696,3.785,21.48,18.7206,19.553,20.4002,4.3462,19.2008,19.3112,18.873,18.2676,0.6492,19.2006,7.881,20.7584,17.0044,11.1704,19.7534,20.3292,18.124,14.754,23.4036,20.1056,19.8504,18.9446,0.7406,15.9694,22.5024,21.9642,19.0384,15.195,13.4094,18.9716,18.1888,15.2928,18.8012,14.6532,19.0106,21.2426,20.7708,11.9936,16.5064,12.569,18.8852,3.3774,20.8224,19.6826,13.7816,13.1328,18.4788,18.1194,0.167,17.3206,18.4178,21.6654,0.1352,19.262,17.01,7.342,21.5112,17.878,21.7494,19.4202,22.9268,0.1352,12.4646,18.3078,19.154,19.5718,19.291,19.1064,22.67,21.4256,21.4076,20.3576,0.743,22.0398,9.1962,17.8814,19.7936,11.697,18.328,0.019,2.8638,13.2982,18.7652,20.6152
sad_aux_2p_20007,10.0306,20.1282,18.1908,21.7516,1.2444,17.0454,21.6234,19.826,21.3748,21.9092,19.7898,16.534,20.9786,19.0044,3.257,19.9176,12.8766,17.8706,19.562,7.5068,21.6516,16.8818,18.3186,21.7208,0.0752,20.842,6.5816,18.9812,21.7554,7.9236,15.577,16.7916,22.9758,18.3044,19.9416,23.8986,17.6128,21.4352,0.59,15.6344,20.5852,20.2586,20.0238,14.709,13.4344,21.3858,21.768,14.6174,19.874,13.0268,21.0278,16.0576,20.5582,13.202,19.601,12.6042,19.1548,3.86,17.2228,20.8676,10.5834,6.9652,22.2358,23.0714,0.2188,15.2358,21.4012,18.5206,0.1164,21.6882,20.914,4.3072,18.6378,20.9144,18.2628,22.0532,20.2448,0.4858,8.067,21.5784,19.8936,20.8042,21.74,21.696,19.304,16.7714,19.7212,17.573,0.3888,20.4578,3.1098,18.8988,21.4588,5.3824,20.8728,0.001,2.1092,17.9234,14.2072,21.059
