,iql_2p_5,iql_2p_616,iql_2p_210,iql_2p_700,iql_2p_614,iql_2p_11,iql_2p_6,iql_2p_113,iql_2p_612,iql_2p_618
iql_2p_5,21.1706,18.937,17.4632,18.382,19.0468,13.4178,16.241,17.0384,18.6662,19.6024
iql_2p_616,17.0244,23.8616,12.046,23.396,20.296,13.7568,13.108,9.4598,21.1536,22.5102
iql_2p_210,14.5016,11.685,23.8912,12.379,10.5546,6.523,6.4594,5.5086,10.8806,12.0396
iql_2p_700,16.7378,23.465,12.6986,23.995,20.3232,14.584,13.0032,10.2902,20.7572,22.218
iql_2p_614,17.5196,20.2396,10.0654,20.1002,23.6172,10.771,15.5602,10.9876,22.6794,20.7506
iql_2p_11,9.2498,13.6374,7.1394,14.588,10.971,23.9404,7.6746,7.289,12.4624,13.1434
iql_2p_6,14.7394,12.8124,6.156,13.1458,15.4516,7.0722,23.3894,7.9024,15.7628,16.0986
iql_2p_113,14.3842,9.6156,5.9836,10.2168,10.8778,7.061,7.918,23.9586,11.011,11.774
iql_2p_612,17.6824,20.8924,11.0882,20.8322,22.7274,12.1282,16.166,10.8834,23.5472,21.0722
iql_2p_618,18.3672,22.5306,12.1048,22.2638,20.6478,12.8732,16.1214,11.3818,21.0316,23.7726
