,iql_2p_1,iql_2p_2,iql_2p_3,iql_2p_4,iql_2p_5,iql_2p_6,iql_2p_7,iql_2p_8,iql_2p_9,iql_2p_10,iql_2p_11,iql_2p_12,iql_2p_101,iql_2p_102,iql_2p_105,iql_2p_106,iql_2p_107,iql_2p_110,iql_2p_111,iql_2p_112,iql_2p_113,iql_2p_200,iql_2p_202,iql_2p_204,iql_2p_206,iql_2p_208,iql_2p_210,iql_2p_212,iql_2p_214,iql_2p_220,iql_2p_224,iql_2p_228,iql_2p_232,iql_2p_280,iql_2p_284,iql_2p_288,iql_2p_292,iql_2p_310,iql_2p_314,iql_2p_318
iql_2p_1,23.8875,17.6159,3.5095,5.8933,11.3137,16.9586,20.2326,17.3837,21.0749,17.7146,10.3433,19.2578,19.3819,17.5827,15.3102,18.2286,16.338,13.1748,15.7356,20.457,8.7673,19.9515,18.6164,2.0359,18.6283,16.7175,9.9306,20.0233,19.4012,16.5309,20.0358,0.7162,19.7636,17.0304,20.131,17.6645,17.456,17.1574,18.9341,18.6906
iql_2p_2,17.7231,23.6591,7.1911,10.0787,10.886,15.1255,16.9293,19.4131,17.2309,19.9391,12.4037,20.3396,18.6282,19.8602,19.0756,19.6768,19.9802,12.7441,20.3149,19.2594,11.3751,18.3715,19.9173,1.9228,18.9086,13.7594,12.2636,19.6958,20.7842,19.8246,18.4319,0.7021,18.793,20.7027,18.8594,19.3686,13.7026,19.6596,19.2052,16.161
iql_2p_3,3.621,6.952,23.7953,3.6774,3.3047,3.7215,3.184,5.1777,4.1137,5.4139,2.1073,4.1049,3.9503,5.2033,4.4132,4.694,4.9268,4.7451,3.2521,5.104,1.995,3.495,5.5526,2.4383,4.5507,2.6912,3.6537,4.0484,4.7485,4.7171,4.1514,0.1744,2.6693,4.5536,2.8567,3.2436,2.8239,3.9048,3.7354,3.2116
iql_2p_4,6.1482,9.8494,3.7398,23.6148,2.7173,8.2016,4.6273,8.9374,7.7229,5.6299,3.0186,5.8463,5.5556,6.142,5.9496,7.2282,6.6057,3.5995,7.5619,5.4379,3.0293,4.8601,7.3221,2.2195,6.9917,5.6335,4.7643,5.5209,7.1173,8.8062,4.1808,0.1238,4.4428,6.4833,5.4549,5.7173,4.1185,7.4477,7.4963,5.6694
iql_2p_5,11.3326,10.9426,3.1265,2.7703,23.7853,8.8893,12.0227,11.3058,10.3341,9.8966,5.9066,10.4999,8.4484,10.1526,11.6019,10.4123,9.7532,13.9538,9.1693,9.9098,8.54,10.387,9.8538,1.3901,11.2548,9.4037,8.6525,9.766,9.6872,8.2694,11.4737,0.5976,11.0274,8.1743,8.6045,8.9613,9.7114,8.2311,11.2847,8.0419
iql_2p_6,16.6981,15.0764,3.9059,8.1327,8.8748,23.3993,16.451,15.6269,18.6507,15.3246,7.1737,15.3782,15.8093,14.1186,8.3177,16.1555,14.3451,11.2012,12.3367,15.6619,7.892,13.695,15.5706,2.0354,16.6026,18.6715,6.2538,14.1991,15.87,14.7657,16.1968,0.8103,13.6353,14.7484,14.2275,12.8786,12.5559,15.0153,16.1442,13.6587
iql_2p_7,20.2576,16.8182,2.9751,4.4353,11.8621,16.5032,23.8621,20.4473,16.8221,19.1279,7.5876,15.0119,19.0779,17.3411,14.6042,15.2927,14.3097,14.4563,14.5617,21.4517,8.2817,16.4606,20.184,1.3479,19.0484,17.172,6.3679,16.1947,19.3668,14.3774,18.2594,0.379,15.4379,16.9547,15.5385,15.493,20.513,15.4586,15.7012,16.1205
iql_2p_8,17.3625,19.3795,5.2765,8.9363,11.2735,15.6536,20.5466,23.715,15.7319,20.8666,11.558,17.8049,18.9095,19.2751,19.152,18.3929,18.5007,14.4476,19.6795,20.3951,9.9426,15.9446,21.3497,2.4392,21.4943,15.3916,10.3033,17.6397,19.5471,19.1862,16.5951,0.8612,16.2175,20.4349,17.8736,17.2215,19.7265,18.556,17.5273,15.2938
iql_2p_9,20.9537,17.0541,4.406,7.6091,10.1867,18.6556,17.0561,15.543,23.7275,17.1973,8.7896,19.1779,17.9215,16.4103,13.7238,18.6752,15.4402,11.4192,15.9588,17.2637,8.0733,18.7729,16.6887,2.4983,17.8331,16.924,8.7923,18.6645,18.8349,14.9705,18.6962,0.8705,17.3907,16.6286,18.7061,15.7549,15.327,14.6965,16.7443,18.2935
iql_2p_10,17.9023,19.8536,5.6148,5.3721,9.8848,15.435,19.1602,20.5895,17.3155,23.7731,11.6892,20.049,20.5243,20.527,20.1758,19.061,18.1376,12.8009,20.6266,18.799,10.0102,19.4591,19.783,2.6442,20.4652,14.0429,10.3921,19.6799,22.2624,19.9595,20.0166,0.7355,17.0891,22.1776,18.1827,21.2093,19.1878,18.7457,17.9051,20.644
iql_2p_11,10.4947,12.794,2.0888,2.9381,6.5097,7.6889,7.7317,11.5266,9.153,11.6673,23.9506,13.1531,9.7704,9.9772,11.5925,11.261,9.9179,6.1252,13.2573,11.8602,7.3904,11.7955,10.5175,0.6855,10.5224,5.0536,7.0236,12.7693,11.1122,12.7322,11.3275,0.2671,11.5414,12.0446,17.3085,12.8159,6.3998,11.9617,14.6768,12.6749
iql_2p_12,19.395,20.3034,4.1563,6.0153,10.7441,15.3628,14.7098,17.7141,19.1699,20.0294,13.0378,23.7823,19.3986,18.3846,18.7177,19.4251,18.4984,10.3633,21.1685,17.5014,9.3776,20.4884,18.5351,2.3739,18.3794,13.3388,13.1162,21.0045,21.2836,20.0464,18.7134,0.7135,18.5507,20.2743,20.8109,20.1946,15.0292,18.9513,20.1037,20.8224
iql_2p_101,19.6243,18.6446,3.9213,5.3973,8.4536,15.9102,19.3462,18.6628,17.9113,20.5432,9.7449,19.409,23.7407,19.0973,17.4963,18.3718,18.2907,11.6074,17.4567,20.3584,8.7689,19.4846,20.6459,2.0041,18.5181,14.3623,9.1967,18.9897,20.9797,19.0675,20.4197,0.492,16.5195,20.1984,18.2777,20.1529,18.0466,18.4465,18.3182,20.6541
iql_2p_102,17.5364,19.9931,5.2821,6.2111,10.4467,14.0317,17.5412,19.2137,16.6955,20.5023,9.5655,18.315,19.1329,23.8402,20.3872,19.4881,19.2489,11.2903,18.2255,18.4577,10.9599,19.0935,20.0507,1.8971,20.0533,11.3539,11.0482,19.5198,18.9078,17.8009,19.1723,0.7947,18.5081,19.8396,17.9035,20.2907,17.8664,17.0911,16.9479,18.8465
iql_2p_105,15.2929,19.1104,4.6348,6.0279,11.9247,8.7469,14.8785,19.2549,13.6625,20.1859,10.9381,18.7124,16.5686,20.392,24.0717,18.7299,20.0336,11.8484,19.9883,17.5081,12.3512,17.801,18.8682,1.7721,18.7379,8.3058,12.3488,17.297,18.7928,17.5049,18.3973,0.7737,17.3146,19.8027,15.3626,18.7314,15.2926,17.0284,16.8664,16.384
iql_2p_106,18.0901,19.6953,4.9561,7.662,10.2296,15.9927,16.18,18.2015,18.7235,18.9434,10.6601,19.2125,18.1998,19.5778,18.6681,24.0088,20.3537,12.5194,18.8549,17.4716,12.6649,17.7758,19.2577,1.07,20.4952,13.3091,9.1821,17.6355,18.5376,17.7242,20.9602,0.6088,17.1572,19.325,18.6469,18.6548,17.3862,16.95,16.2541,18.4826
iql_2p_107,15.9518,19.8236,5.3658,6.5946,9.9878,14.1319,14.7937,18.2637,15.8763,18.1855,9.2649,18.3187,18.0913,18.9534,19.692,20.322,23.931,12.0741,17.5199,17.8209,13.9799,18.0148,20.0689,1.9577,18.6393,11.4347,9.2814,17.166,18.5185,17.9492,18.564,0.4998,16.8703,19.2193,15.9914,17.1167,15.2534,17.6797,16.1584,16.0452
