,sad_aux_op_2p_25001,vdn_2p_770,vdn_op_2p_7772,vdn_aux_2p_940,iql_aux_2p_8110,sad_aux_op_2p_25024,sad_2p_2025,iql_2p_510,vdn_aux_2p_971,vdn_2p_7110,iql_op_2p_700,sad_aux_2p_20025,sad_aux_2p_20024,vdn_op_2p_77112,iql_op_2p_710,iql_2p_310,sad_aux_2p_10,vdn_2p_726,sad_op_2p_2524,sad_aux_2p_20007,vdn_aux_2p_9112,sad_aux_op_2p_25025,sad_op_2p_1,iql_aux_2p_804,sad_aux_2p_20001,iql_aux_2p_8141,sad_2p_2024,sad_aux_2p_20000,iql_2p_210,sad_op_2p_2500,vdn_aux_2p_9142,vdn_aux_2p_9141,sad_2p_2019,iql_2p_7,iql_op_2p_6140,sad_2p_1,vdn_2p_720,vdn_2p_7140,sad_aux_op_2p_1,iql_2p_224,sad_aux_2p_1,vdn_2p_725,vdn_2p_711,sad_aux_op_2p_25007,iql_op_2p_6110,sad_op_2p_2519,iql_2p_111,sad_2p_2007,sad_op_2p_2507,vdn_op_2p_729,sad_op_2p_2,vdn_2p_710,vdn_2p_740,vdn_aux_2p_910,vdn_aux_2p_911,vdn_op_2p_7742,sad_op_2p_2506,sad_aux_2p_20018,iql_aux_2p_800,iql_2p_288,sad_aux_op_2p_25019,sad_op_2p_2501,sad_aux_2p_20006,iql_op_2p_610,vdn_op_2p_7741,iql_2p_4,sad_2p_2000,iql_op_2p_620,iql_op_2p_621,iql_op_2p_618,vdn_2p_7141,iql_aux_2p_840,vdn_op_2p_7711,iql_aux_2p_841,vdn_op_2p_77111,iql_aux_2p_8140,sad_aux_op_2p_25000,vdn_aux_2p_970,sad_aux_op_2p_25018,iql_2p_488,sad_aux_op_2p_2,sad_aux_op_2p_25006,vdn_op_2p_727,iql_aux_2p_811,vdn_aux_2p_941,sad_2p_2006,sad_aux_2p_20019,sad_op_2p_2525,sad_2p_2001,iql_2p_424,sad_2p_9,sad_op_2p_2518,sad_2p_2018,vdn_aux_2p_9111,iql_aux_2p_810,iql_aux_2p_8111,iql_op_2p_600,iql_op_2p_612,vdn_op_2p_7712,vdn_op_2p_7771
sad_op_2p_2524,11.4862,1.8378,18.568,17.5594,15.2156,16.0334,0.0762,15.919,17.02,19.4824,21.0724,13.3814,16.1558,20.8348,15.2784,18.0724,15.206,12.9258,24.0786,16.4634,14.355,17.4228,8.0858,11.6238,12.9886,13.4532,5.5036,17.0598,6.913,14.7478,14.7316,16.6098,11.273,13.9572,21.0072,16.3108,7.2034,9.6112,11.3194,15.26,20.6452,1.6162,16.5336,14.7442,18.2108,9.9602,20.5976,2.38,0.0192,12.9286,0.0596,20.4582,15.0936,14.2516,16.9552,0.0542,0.0018,12.6408,16.2104,19.5786,14.1896,12.0226,14.0066,2.98,1.9274,3.6782,13.5752,21.2964,14.7578,20.6444,0.224,14.1762,13.124,15.0004,16.462,16.3998,15.0768,15.4662,13.4006,17.6758,17.9704,13.4516,13.4506,13.4194,17.5608,0.143,10.6432,17.2918,7.9454,15.216,0.7266,15.7524,6.3066,16.273,13.1978,13.544,8.4976,19.1884,6.4514,8.2492
sad_aux_2p_20007,13.0268,7.5068,20.5852,20.9784,21.652,21.4352,0.1164,17.2228,21.6234,19.9176,19.304,19.8936,20.914,20.2448,14.2074,17.573,18.3186,14.709,16.0576,23.8984,21.3858,20.842,13.4304,18.1908,21.4012,18.8988,8.067,21.059,7.9278,18.9812,21.696,21.0284,5.3824,17.0454,18.6378,15.577,10.5834,12.6042,16.534,17.6128,20.2586,2.1092,19.1548,21.6882,19.8294,18.3044,18.5206,6.5816,0.2188,14.6174,0.4858,20.4578,16.7916,20.9144,21.74,0.0752,0.001,20.8728,21.3748,18.2628,21.768,15.6344,21.721,3.257,3.86,4.3044,15.2358,19.9416,16.8818,20.1282,0.3928,22.2358,12.8766,21.4588,19.7898,20.8676,21.9092,19.8742,21.7524,16.7714,22.0532,21.5784,19.601,20.0238,20.5582,0.59,23.0714,19.0044,17.9234,17.8706,1.2444,19.562,6.9608,20.8042,21.7554,22.9758,10.0306,19.7212,13.2018,3.1098
vdn_aux_2p_9112,16.1652,6.0518,19.3464,21.9446,21.3932,21.1582,0.3614,18.4796,22.5936,16.8494,18.0798,20.8212,21.8762,18.8272,13.5062,16.2516,22.3066,13.56,14.9182,21.2118,23.8738,20.8736,13.8228,18.5158,20.1146,21.9984,14.2524,22.6106,10.4104,16.409,19.6392,21.512,9.2604,18.8794,19.2176,16.3546,11.7378,15.0624,19.4908,20.6748,17.4594,4.0682,20.3552,21.4932,19.6844,17.2392,16.4842,7.2424,0.3188,17.5116,0.1952,19.3738,16.986,21.649,20.9524,0.4876,0.0014,21.5718,20.9084,17.484,21.8176,16.4716,20.702,4.6092,4.9394,7.4544,14.6126,18.8132,16.6296,20.1198,1.107,22.7544,9.59,21.3958,20.5234,21.301,21.5476,21.831,22.4812,17.8578,22.2748,21.2352,19.914,21.2714,22.4522,0.796,21.6138,18.1424,16.2554,20.032,1.283,17.3018,7.0864,20.433,20.9142,20.7616,11.458,18.9738,16.3192,6.1368
sad_aux_op_2p_25025,16.8528,4.4916,19.244,22.0008,21.2508,21.911,0.4578,15.8386,23.2844,16.4584,19.337,21.6854,22.323,18.169,18.4348,14.74,17.555,11.0652,17.513,20.7074,20.8886,24.0942,8.144,17.7716,20.3586,21.2824,8.4364,20.8346,10.6354,12.0248,21.6976,23.0458,5.4318,19.4732,20.7908,13.6188,12.1408,15.1636,18.7158,17.7668,19.998,1.7862,16.5542,19.7594,19.2838,14.503,17.4636,2.4258,0.2458,16.7128,0.1926,19.2202,16.9,21.3716,21.6704,0.5904,0.0492,19.4242,21.8956,17.0174,19.2842,10.7666,20.991,5.3942,2.2984,5.486,7.7368,19.1408,16.341,19.764,1.1386,21.276,11.0574,21.9498,16.1654,22.5704,19.6692,22.6522,20.819,17.0264,23.4974,20.4112,19.4092,21.7008,21.0178,0.6336,20.8018,20.2796,13.3254,19.6356,1.35,12.4942,7.233,21.8436,20.418,21.2246,10.3408,20.4984,14.2766,5.55
sad_op_2p_1,7.4848,1.219,13.933,13.799,13.1836,11.3112,0.0296,18.8778,10.9402,14.1224,13.3292,14.005,10.1752,15.4838,6.0458,18.174,15.7886,12.962,9.1158,14.4448,15.37,9.006,23.786,12.947,16.4196,12.8316,1.5332,15.3694,3.3558,15.8262,12.3042,10.5666,15.2342,10.0114,12.9306,10.4332,7.559,8.5824,9.0656,14.5012,12.3996,2.181,16.188,14.4134,15.8866,11.6258,12.9526,1.0414,0.0016,10.463,7.7232,14.3256,10.3812,11.8128,13.3092,0.0288,0.0,15.0156,12.821,14.5346,15.2218,14.24,10.1028,1.1484,1.2776,2.412,18.5542,14.4498,12.3926,14.8618,0.1,13.8272,11.3428,14.0956,13.5594,12.2512,15.6676,11.4106,15.6606,15.8112,11.7898,10.7794,10.5844,9.3588,15.6374,0.0316,12.1952,10.0186,10.5846,12.494,0.4882,15.9596,1.8268,13.7004,12.7548,12.1852,2.677,13.4308,5.0076,3.4602
iql_aux_2p_804,19.4994,4.1614,18.4728,19.9024,18.8316,18.6086,0.2308,17.84,18.6624,15.4472,17.9276,17.0378,18.8166,17.4888,15.3964,17.4298,15.0558,11.9012,11.8024,18.2516,18.5242,17.7154,12.749,23.9528,19.1882,17.3926,2.6472,19.0484,10.3478,13.8118,18.5294,19.028,12.3734,16.9406,17.7636,13.1932,14.0806,14.3438,19.114,17.6952,17.5586,4.649,16.619,17.2816,18.2088,14.703,16.7516,0.453,0.5784,18.2906,5.076,17.5688,15.798,18.9888,18.9638,0.5254,0.0176,16.2688,18.8112,15.5982,19.535,16.2606,17.3064,6.7666,6.2128,6.8886,15.6716,17.9492,18.6262,19.1502,1.8176,19.148,12.154,19.0346,16.9464,18.3068,19.756,18.8198,18.911,16.88,17.9332,18.5604,17.2532,18.6498,19.3206,0.6696,18.5046,17.0942,12.753,17.4704,2.3564,14.6424,5.8924,18.4822,19.1174,19.4508,6.3068,18.2656,13.0802,9.083
sad_aux_2p_20001,15.617,6.6874,19.415,21.4356,21.6996,21.7666,0.1648,17.1626,20.901,18.8742,17.1444,22.0898,20.7706,18.7688,12.6994,16.876,16.8862,13.6792,13.2258,21.4098,20.1642,20.6316,15.1036,19.0234,23.4652,20.405,6.7662,21.058,8.5814,18.6178,22.979,21.9522,12.4242,17.946,17.3152,14.865,12.174,16.4786,17.8186,18.2272,19.7252,3.5234,19.901,21.7914,19.7884,20.5596,16.2202,10.0812,0.408,17.0524,0.2076,18.691,14.7212,20.9392,22.5818,0.2848,0.0032,21.678,21.9144,16.5688,22.0726,16.2038,20.9768,4.742,5.3286,5.0352,16.5138,18.389,17.4316,19.3976,1.1798,19.81,11.1554,22.0468,19.2746,20.0628,22.1684,21.2572,21.8252,16.7286,21.582,21.3612,20.8558,19.8548,20.7866,0.8974,21.4854,19.731,19.4812,17.6652,1.147,19.0544,8.2328,22.5446,21.3024,21.8798,8.5178,19.623,13.3644,4.361
iql_aux_2p_8141,15.3772,6.5992,18.4036,22.2462,21.2294,20.7508,0.3762,15.92,21.8766,15.802,17.4836,22.4656,21.7496,17.7284,13.0758,14.654,20.362,12.0126,13.7886,19.2538,22.0352,21.3394,11.9678,17.4454,20.6694,23.9086,10.792,21.9398,10.86,13.7412,20.9418,21.864,7.7214,17.3992,18.2162,15.1812,10.2674,16.7488,17.874,20.2358,17.9976,3.3912,19.3742,21.0004,18.6798,14.4942,16.0898,7.5494,0.5726,17.0786,0.5026,17.9082,15.3572,21.7382,21.8226,1.1168,0.0122,21.0806,22.3266,16.1978,20.8942,13.1106,20.441,5.4528,4.485,6.6624,10.5174,17.4874,14.6288,18.6618,1.317,20.5962,8.5478,21.2432,19.1784,21.8732,20.1736,23.3034,22.0782,16.9868,22.2474,20.2028,19.059,21.6058,21.7298,1.0344,19.377,16.8702,12.1942,18.3978,1.8582,14.6184,8.1886,21.5784,20.0412,19.676,11.7736,17.907,17.465,5.5416
sad_2p_2024,1.4522,1.1114,11.3228,9.761,10.909,8.8474,0.0328,5.8648,11.7152,5.9642,11.255,10.6346,10.7444,10.4528,6.651,4.1544,15.1464,2.6106,5.4032,8.5456,13.2774,8.7532,1.8744,3.289,6.5484,10.1724,24.1248,10.8,2.8986,4.4506,11.1892,10.3096,0.0532,15.2154,11.2196,7.603,5.6676,12.2968,4.2516,10.4318,8.5364,0.0658,13.9014,10.5404,12.2806,6.5256,6.3282,1.4634,0.0148,4.2864,0.1186,11.2444,7.2718,12.7942,10.2568,0.022,0.0004,15.2868,10.4116,11.1016,8.3896,2.6622,7.101,0.1762,0.054,0.4684,0.1194,12.1328,2.992,5.5948,0.2526,11.2218,6.7354,9.6638,13.6308,10.489,7.2894,9.61,12.0468,12.0686,10.8814,6.192,12.3176,10.3114,10.7484,0.0146,10.0152,8.1766,5.0788,11.7136,0.0146,5.6902,2.3736,12.4316,11.5616,11.0012,2.6136,13.1302,9.3794,0.3574
sad_aux_2p_20000,16.4658,7.4182,21.067,22.444,22.143,21.6908,0.1504,18.9078,21.9376,19.5918,19.7636,21.6396,21.5668,20.6572,15.298,18.4648,20.5896,16.2822,17.1786,21.1606,22.611,21.1168,14.0474,19.077,21.1382,22.0692,11.187,23.5418,10.987,19.3238,20.9252,21.6832,10.8156,18.2328,19.849,17.7456,13.465,13.6594,18.4204,20.183,19.47,4.071,20.4558,21.7862,20.418,18.7332,18.3678,6.1416,0.3426,17.6,0.815,20.7162,19.1428,21.075,21.747,0.4508,0.004,21.9116,21.6846,19.02,22.0288,17.9146,20.444,4.3808,5.7388,6.824,17.1042,20.5206,18.3692,21.175,0.6944,21.7304,15.0808,22.0686,20.6012,20.9588,22.5444,22.4034,22.2788,18.3054,22.107,21.589,20.4164,21.4552,23.0754,1.3056,20.7012,20.5568,16.7124,19.6614,1.5742,20.0552,9.2468,21.5438,20.7216,20.5828,11.054,20.4586,13.401,6.0844
